Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,76392,823,2348,109,
Western Pacific Region,Republic of Korea,346,142,2,1,
Western Pacific Region,Japan,105,12,1,0,
Western Pacific Region,Singapore,86,1,0,0,
Western Pacific Region,Malaysia,22,0,0,0,
Western Pacific Region,Viet Nam,16,0,0,0,
Western Pacific Region,Australia,21,4,0,0,
Western Pacific Region,Philippines,3,0,1,0,
South-East Asia Region,Cambodia,1,0,0,0,
South-East Asia Region,Thailand,35,0,0,0,
South-East Asia Region,India,3,0,0,0,
South-East Asia Region,Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
Region of the Americas,United States of America,35,20,0,0,
Region of the Americas,Canada,8,0,0,0,
European,France,12,0,1,0,
European,Finland,1,0,0,0,
European,Germany,16,0,0,0,
European,Italy,9,6,0,0,
European,Isreal,1,1,0,0,TRUE
European,Russian Federation,2,0,0,0,
European,Spain,2,0,0,0,
European,Sweden,1,0,0,0,
European,United Kingdom,9,0,0,0,
European,Belgium,1,0,0,0,
Eastern Mediterranean,United Arab Emirates,11,2,0,0,
Eastern Mediterranean,Iran,18,13,4,2,
Eastern Mediterranean,Egypt,1,0,0,0,
Eastern Mediterranean,Lebanon,1,1,0,0,TRUE
Other,International Coveyance,634,0,2,0,
